BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
300.0,6TH ST SE,keep,Virginia,Charlottesville,300 6TH ST SE,"300 6TH ST SE, CHARLOTTESVILLE, VA"
1900.0,"LEWIS MOUNTAIN RD, B",keep,Virginia,Charlottesville,1900 LEWIS MOUNTAIN RD,"1900 LEWIS MOUNTAIN RD, CHARLOTTESVILLE, VA"
100.0,IVY DR,keep,Virginia,Charlottesville,100 IVY DR,"100 IVY DR, CHARLOTTESVILLE, VA"
400.0,"10TH ST NW, 122",keep,Virginia,Charlottesville,400 10TH ST NW,"400 10TH ST NW, CHARLOTTESVILLE, VA"
200.0,"PALATINE AVE, A",keep,Virginia,Charlottesville,200 PALATINE AVE,"200 PALATINE AVE, CHARLOTTESVILLE, VA"
200.0,"5TH ST SW, 101",keep,Virginia,Charlottesville,200 5TH ST SW,"200 5TH ST SW, CHARLOTTESVILLE, VA"
600.0,"W MAIN ST, 309",keep,Virginia,Charlottesville,600 W MAIN ST,"600 W MAIN ST, CHARLOTTESVILLE, VA"
400.0,"HEDGE ST, A",keep,Virginia,Charlottesville,400 HEDGE ST,"400 HEDGE ST, CHARLOTTESVILLE, VA"
nan,ELLIOTT AVE / RIALTO ST,drop,Virginia,Charlottesville,ELLIOTT AVE / RIALTO ST,"ELLIOTT AVE / RIALTO ST, CHARLOTTESVILLE, VA"
nan,ANGUS RD / WAYNE AVE,drop,Virginia,Charlottesville,ANGUS RD / WAYNE AVE,"ANGUS RD / WAYNE AVE, CHARLOTTESVILLE, VA"
1500.0,UNIVERSITY AVENUE AVE,keep,Virginia,Charlottesville,1500 UNIVERSITY AVENUE AVE,"1500 UNIVERSITY AVENUE AVE, CHARLOTTESVILLE, VA"
1500.0,"CARLTON AVE, 28",keep,Virginia,Charlottesville,1500 CARLTON AVE,"1500 CARLTON AVE, CHARLOTTESVILLE, VA"
